date,countryIsoCode,users
2021-12-04,FR,152
2021-12-04,IT,274
2021-12-04,SE,74
2021-12-05,AT,29
2021-12-05,CH,27
2021-12-05,DE,235
2021-12-05,FR,157
2021-12-05,IT,260
2021-12-05,SE,65
2021-12-06,AT,58
2021-12-06,CH,47
2021-12-06,DE,461
2021-12-06,FR,340
2021-12-06,IT,483
2021-12-06,SE,210
2021-12-07,AT,54
2021-12-07,CH,38
2021-12-07,DE,474
2021-12-07,FR,319
2021-12-07,IT,433
2021-12-07,SE,165
2021-12-08,AT,54
2021-12-08,CH,40
2021-12-08,DE,464
2021-12-08,FR,324
2021-12-08,IT,314
2021-12-08,SE,170
2021-12-09,AT,44
2021-12-09,CH,44
2021-12-09,DE,413
2021-12-09,FR,341
2021-12-09,IT,581
2021-12-09,SE,208
2021-12-10,AT,47
2021-12-10,CH,39
2021-12-10,DE,374
2021-12-10,FR,306
2021-12-10,IT,520
2021-12-10,SE,167
2021-12-11,AT,37
2021-12-11,CH,23
2021-12-11,DE,198
2021-12-11,FR,130
2021-12-11,IT,345
2021-12-11,SE,65
2021-12-12,AT,28
2021-12-12,CH,26
2021-12-12,DE,242
2021-12-12,FR,150
2021-12-12,IT,301
2021-12-12,SE,74
2021-12-13,AT,41
2021-12-13,CH,53
2021-12-13,DE,465
2021-12-13,FR,337
2021-12-13,IT,571
2021-12-13,SE,211
2021-12-14,AT,47
2021-12-14,CH,48
2021-12-14,DE,461
2021-12-14,FR,342
2021-12-14,IT,523
2021-12-14,SE,216
2021-12-15,AT,47
2021-12-15,CH,48
2021-12-15,DE,431
2021-12-15,FR,314
2021-12-15,IT,528
2021-12-15,SE,192
2021-12-16,AT,34
2021-12-16,CH,49
2021-12-16,DE,401
2021-12-16,FR,333
2021-12-16,IT,535
2021-12-16,SE,181
2021-12-17,AT,38
2021-12-17,CH,48
2021-12-17,DE,340
2021-12-17,FR,288
2021-12-17,IT,410
2021-12-17,SE,134
2021-12-18,AT,15
2021-12-18,CH,24
2021-12-18,DE,213
2021-12-18,FR,100
2021-12-18,IT,149
2021-12-18,SE,74
2021-12-19,AT,29
2021-12-19,CH,22
2021-12-19,DE,172
2021-12-19,FR,92
2021-12-19,IT,149
2021-12-19,SE,66
2021-12-20,AT,32
2021-12-20,CH,35
2021-12-20,DE,433
2021-12-20,FR,292
2021-12-20,IT,319
2021-12-20,SE,183
2021-12-21,AT,39
2021-12-21,CH,31
2021-12-21,DE,400
2021-12-21,FR,268
2021-12-21,IT,323
2021-12-21,SE,165
2021-12-22,AT,32
2021-12-22,CH,38
2021-12-22,DE,355
2021-12-22,FR,226
2021-12-22,IT,305
2021-12-22,SE,129
2021-12-23,AT,27
2021-12-23,CH,26
2021-12-23,DE,296
2021-12-23,FR,192
2021-12-23,IT,259
2021-12-23,SE,85
2021-12-24,AT,19
2021-12-24,CH,26
2021-12-24,DE,150
2021-12-24,FR,114
2021-12-24,IT,131
2021-12-24,SE,33
2021-12-25,AT,19
2021-12-25,CH,20
2021-12-25,DE,156
2021-12-25,FR,69
2021-12-25,IT,95
2021-12-25,SE,45
2021-12-26,AT,24
2021-12-26,CH,21
2021-12-26,DE,161
2021-12-26,FR,95
2021-12-26,IT,132
2021-12-26,SE,51
2021-12-27,AT,33
2021-12-27,CH,28
2021-12-27,DE,323
2021-12-27,FR,182
2021-12-27,IT,288
2021-12-27,SE,115
2021-12-28,AT,28
2021-12-28,CH,37
2021-12-28,DE,347
2021-12-28,FR,198
2021-12-28,IT,300
2021-12-28,SE,97
2021-12-29,AT,41
2021-12-29,CH,27
2021-12-29,DE,333
2021-12-29,FR,213
2021-12-29,IT,278
2021-12-29,SE,99
2021-12-30,AT,30
2021-12-30,CH,39
2021-12-30,DE,316
2021-12-30,FR,205
2021-12-30,IT,249
2021-12-30,SE,81
2021-12-31,AT,20
2021-12-31,CH,18
2021-12-31,DE,201
2021-12-31,FR,131
2021-12-31,IT,151
2021-12-31,SE,47
2022-01-01,AT,13
2022-01-01,CH,18
2022-01-01,DE,147
2022-01-01,FR,85
2022-01-01,IT,96
2022-01-01,SE,48
2022-01-02,AT,18
2022-01-02,CH,34
2022-01-02,DE,223
2022-01-02,FR,109
2022-01-02,IT,156
2022-01-02,SE,71
2022-01-03,AT,35
2022-01-03,CH,55
2022-01-03,DE,444
2022-01-03,FR,290
2022-01-03,IT,274
2022-01-03,SE,169
2022-01-04,AT,39
2022-01-04,CH,47
2022-01-04,DE,462
2022-01-04,FR,294
2022-01-04,IT,317
2022-01-04,SE,167
2022-01-05,AT,47
2022-01-05,CH,45
2022-01-05,DE,487
2022-01-05,FR,361
2022-01-05,IT,303
2022-01-05,SE,135
2022-01-06,AT,27
2022-01-06,CH,46
2022-01-06,DE,430
2022-01-06,FR,305
2022-01-06,IT,204
2022-01-06,SE,96
2022-01-07,AT,40
2022-01-07,CH,33
2022-01-07,DE,428
2022-01-07,FR,240
2022-01-07,IT,274
2022-01-07,SE,150
2022-01-08,AT,30
2022-01-08,CH,29
2022-01-08,DE,234
2022-01-08,FR,138
2022-01-08,IT,176
2022-01-08,SE,85
2022-01-09,AT,29
2022-01-09,CH,32
2022-01-09,DE,245
2022-01-09,FR,126
2022-01-09,IT,179
2022-01-09,SE,82
2022-01-10,AT,59
2022-01-10,CH,53
2022-01-10,DE,530
2022-01-10,FR,314
2022-01-10,IT,435
2022-01-10,SE,200
2022-01-11,AT,55
2022-01-11,CH,56
2022-01-11,DE,518
2022-01-11,FR,353
2022-01-11,IT,591
2022-01-11,SE,163
2022-01-12,AT,46
2022-01-12,CH,60
2022-01-12,DE,551
2022-01-12,FR,380
2022-01-12,IT,577
2022-01-12,SE,178
2022-01-13,AT,44
2022-01-13,CH,55
2022-01-13,DE,491
2022-01-13,FR,408
2022-01-13,IT,566
2022-01-13,SE,183
2022-01-14,AT,39
2022-01-14,CH,45
2022-01-14,DE,412
2022-01-14,FR,332
2022-01-14,IT,554
2022-01-14,SE,179
2022-01-15,AT,24
2022-01-15,CH,32
2022-01-15,DE,222
2022-01-15,FR,181
2022-01-15,IT,363
2022-01-15,SE,63
2022-01-16,AT,35
2022-01-16,CH,35
2022-01-16,DE,251
2022-01-16,FR,165
2022-01-16,IT,287
2022-01-16,SE,83
2022-01-17,AT,59
2022-01-17,CH,47
2022-01-17,DE,530
2022-01-17,FR,375
2022-01-17,IT,591
2022-01-17,SE,212
2022-01-18,AT,51
2022-01-18,CH,56
2022-01-18,DE,502
2022-01-18,FR,398
2022-01-18,IT,591
2022-01-18,SE,196
2022-01-19,AT,53
2022-01-19,CH,46
2022-01-19,DE,506
2022-01-19,FR,411
2022-01-19,IT,637
2022-01-19,SE,252
2022-01-20,AT,47
2022-01-20,CH,47
2022-01-20,DE,511
2022-01-20,FR,358
2022-01-20,IT,641
2022-01-20,SE,199
2022-01-21,AT,41
2022-01-21,CH,49
2022-01-21,DE,435
2022-01-21,FR,309
2022-01-21,IT,521
2022-01-21,SE,167
2022-01-22,AT,31
2022-01-22,CH,34
2022-01-22,DE,269
2022-01-22,FR,169
2022-01-22,IT,309
2022-01-22,SE,81
2022-01-23,AT,35
2022-01-23,CH,28
2022-01-23,DE,246
2022-01-23,FR,158
2022-01-23,IT,312
2022-01-23,SE,78
2022-01-24,AT,57
2022-01-24,CH,49
2022-01-24,DE,569
2022-01-24,FR,363
2022-01-24,IT,596
2022-01-24,SE,209
2022-01-25,AT,65
2022-01-25,CH,57
2022-01-25,DE,500
2022-01-25,FR,350
2022-01-25,IT,417
2022-01-25,SE,179
2022-01-26,AT,64
2022-01-26,CH,55
2022-01-26,DE,434
2022-01-26,FR,337
2022-01-26,IT,411
2022-01-26,SE,166
2022-01-27,AT,61
2022-01-27,CH,52
2022-01-27,DE,473
2022-01-27,FR,297
2022-01-27,IT,377
2022-01-27,SE,165
2022-01-28,AT,53
2022-01-28,CH,52
2022-01-28,DE,428
2022-01-28,FR,299
2022-01-28,IT,371
2022-01-28,SE,160
2022-01-29,AT,34
2022-01-29,CH,26
2022-01-29,DE,254
2022-01-29,FR,137
2022-01-29,IT,195
2022-01-29,SE,59
2022-01-30,AT,34
2022-01-30,CH,39
2022-01-30,DE,258
2022-01-30,FR,108
2022-01-30,IT,163
2022-01-30,SE,64
2022-01-31,AT,54
2022-01-31,CH,61
2022-01-31,DE,466
2022-01-31,FR,315
2022-01-31,IT,359
2022-01-31,SE,180
2022-02-01,AT,53
2022-02-01,CH,41
2022-02-01,DE,531
2022-02-01,FR,359
2022-02-01,IT,461
2022-02-01,SE,205
2022-02-02,AT,48
2022-02-02,CH,61
2022-02-02,DE,505
2022-02-02,FR,380
2022-02-02,IT,550
2022-02-02,SE,217
2022-02-03,AT,52
2022-02-03,CH,50
2022-02-03,DE,512
2022-02-03,FR,381
2022-02-03,IT,535
2022-02-03,SE,241
2022-02-04,AT,56
2022-02-04,CH,48
2022-02-04,DE,504
2022-02-04,FR,334
2022-02-04,IT,558
2022-02-04,SE,195
2022-02-05,AT,31
2022-02-05,CH,31
2022-02-05,DE,237
2022-02-05,FR,183
2022-02-05,IT,348
2022-02-05,SE,84
2022-02-06,AT,20
2022-02-06,CH,36
2022-02-06,DE,275
2022-02-06,FR,179
2022-02-06,IT,296
2022-02-06,SE,70
2022-02-07,AT,61
2022-02-07,CH,64
2022-02-07,DE,531
2022-02-07,FR,439
2022-02-07,IT,546
2022-02-07,SE,218
2022-02-08,AT,80
2022-02-08,CH,48
2022-02-08,DE,552
2022-02-08,FR,425
2022-02-08,IT,594
2022-02-08,SE,217
2022-02-09,AT,68
2022-02-09,CH,54
2022-02-09,DE,554
2022-02-09,FR,379
2022-02-09,IT,543
2022-02-09,SE,184
2022-02-10,AT,42
2022-02-10,CH,51
2022-02-10,DE,492
2022-02-10,FR,316
2022-02-10,IT,450
2022-02-10,SE,206
2022-02-11,AT,47
2022-02-11,CH,53
2022-02-11,DE,430
2022-02-11,FR,271
2022-02-11,IT,500
2022-02-11,SE,173
2022-02-12,AT,29
2022-02-12,CH,22
2022-02-12,DE,253
2022-02-12,FR,124
2022-02-12,IT,361
2022-02-12,SE,72
2022-02-13,AT,20
2022-02-13,CH,23
2022-02-13,DE,251
2022-02-13,FR,138
2022-02-13,IT,306
2022-02-13,SE,94
2022-02-14,AT,36
2022-02-14,CH,55
2022-02-14,DE,461
2022-02-14,FR,335
2022-02-14,IT,568
2022-02-14,SE,202
2022-02-15,AT,50
2022-02-15,CH,54
2022-02-15,DE,541
2022-02-15,FR,311
2022-02-15,IT,624
